Performance Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client A,,,,Client B,,,,Server,,,,,,,,Server,,,,,,,,,,,,,,,,,,,,,,,
No Synchronisation,,,,No Synchronisation,,,,No Synchronisation,,,,Memory Profiling,,,,"Memory Profiling, No Synchronisation",,,,,,,,,,,,,,,,,,,,,,,
Round,,FPS,,Round,,FPS,,Round,,FPS,,Round,Memory Usage,GC Time,,," 108,689,927,744 bytes allocated in the heap",," 110,998,420,816 bytes allocated in the heap",," 111,406,259,120 bytes allocated in the heap",," 110,357,780,944 bytes allocated in the heap",," 107,814,435,960 bytes allocated in the heap",," 113,187,357,704 bytes allocated in the heap",," 111,073,107,360 bytes allocated in the heap",," 111,912,653,784 bytes allocated in the heap",," 112,123,615,504 bytes allocated in the heap",,,,,,"105,270,088,240 bytes allocated in the heap"
6,,59.8022000352814,,6,,60.2688439359402,,6,,48.7800125812073,,6,203,20.1,,,,,,,,,,,,,,,,,,,,,,,,,
7,,60.0711074360768,,7,,60.0855160803074,,7,,45.6072120167864,,7,203,20.4,,,"  Productivity  96.5% of total user, 96.2% of total elapsed",,"  Productivity  96.4% of total user, 96.5% of total elapsed",,"  Productivity  96.5% of total user, 96.5% of total elapsed",,"  Productivity  96.4% of total user, 96.5% of total elapsed",,"  Productivity  96.5% of total user, 96.5% of total elapsed",,"  Productivity  96.4% of total user, 96.5% of total elapsed",,"  Productivity  96.4% of total user, 96.5% of total elapsed",,"  Productivity  96.5% of total user, 96.5% of total elapsed",,"  Productivity  96.5% of total user, 96.5% of total elapsed",,,,,,"  Productivity  96.3% of total user, 96.3% of total elapsed"
8,,59.9033608754806,,8,,59.841749460453,,8,,46.5069058581608,,8,203,20.8,,,,,,,,,,,,,,,,,,,,,,,,,
9,,60.0923111698381,,9,,59.9425297059043,,9,,42.85017324137,,9,203,20.6,,,,,,,,,,,,,,,,,,,,,,,,,
10,,60.1038075480512,,10,,59.7663470873726,,10,,46.61546174994,,10,203,20.4,,,,,,,,,,,,,,,,,,,,,,,,,
Average:,,59.7297486694589,,Average:,,60.1091335653136,,Average:,,46.299767676765,,Average:,201.2,20.52,,"Memory Profiling, Time Warp synchronisation",,,,,,,,,,,,,,,,,,,,,,,
Standard Deviation:,,0.794257711098026,,Standard Deviation:,,0.755482994312807,,Standard Deviation:,,1.99977247490126,,Standard Deviation:,4.04969134626332,0.204396129556745,,,"  93,318,013,080 bytes allocated in the heap",,"  94,767,377,608 bytes allocated in the heap",,"  98,163,659,824 bytes allocated in the heap",,"  99,490,028,064 bytes allocated in the heap",,"  97,146,574,824 bytes allocated in the heap",,"  96,733,674,160 bytes allocated in the heap",,"  97,638,110,328 bytes allocated in the heap",,"  97,430,285,416 bytes allocated in the heap",,"  98,727,023,544 bytes allocated in the heap",,,,,,"  97,575,858,768 bytes allocated in the heap"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"  12,960,447,344 bytes copied during GC",,"  12,668,945,328 bytes copied during GC",,"  12,803,782,528 bytes copied during GC",,"  12,887,397,144 bytes copied during GC",,"  12,868,662,144 bytes copied during GC",,"  12,700,063,776 bytes copied during GC",,"  12,844,233,416 bytes copied during GC",,"  12,913,661,008 bytes copied during GC",,"  12,784,454,000 bytes copied during GC",,,,,,"  12,881,018,720 bytes copied during GC"
Summary,,,,,,,,,,,,,,,,,"      99,258,520 bytes maximum residency (277 sample(s))",,"      97,165,768 bytes maximum residency (276 sample(s))",,"     103,262,536 bytes maximum residency (277 sample(s))",,"     103,354,104 bytes maximum residency (283 sample(s))",,"     103,272,232 bytes maximum residency (274 sample(s))",,"     103,237,040 bytes maximum residency (270 sample(s))",,"     103,364,672 bytes maximum residency (277 sample(s))",,"     103,419,880 bytes maximum residency (276 sample(s))",,"     103,296,752 bytes maximum residency (276 sample(s))",,,,,,"     103,354,368 bytes maximum residency (278 sample(s))"
